FDIProj,Year,Source_country,Destination_country,Amount,Sector,Project_type,Ownership_final,Precision_final,Ancmtyear,Opyear_final,xcoord,ycoord
6708,2003,China,Nigeria,1383.3,"Coal, oil & gas",New,CS,7,,U,8.67528,9.082
7523,2003,China,Nigeria,20,Beverages,New,POE,1,U,2003,3.41206,6.42994
7906,2003,China,Zimbabwe,300,Metals,New,CS,7,,U,29.15486,-19.01544
7985,2003,China,Egypt,3,Industrial equipment,New,POE,7,,U,-77.40749,43.06423
10002,2003,China,Algeria,350,"Coal, oil & gas",New,CS,1,2003,2006,-0.15631,28.20719
12388,2003,China,Zambia,7.6,Chemicals,New,CS,3,,2003,28.05374,-12.63392
13330,2003,China,Egypt,7,Communications,New,POE,1,2003,2003,31.02194,30.07206
13486,2003,China,Niger,1641.2,"Coal, oil & gas",New,CS,3,,2006,10.86278,20.77806
16700,2004,China,Sudan,45.7,Transportation,New,CS,6,,2004,30.21764,12.86281
19669,2004,China,Tanzania,162.2,Chemicals,New,CS,7,,U,34.88882,-6.36903
20487,2004,China,South Africa,2.8,Metals,New,POE,1,2003,2004,28.04256,-26.14744
23459,2004,China,Algeria,9.4,Communications,New,POE,7,,U,1.65963,28.03389
23989,2004,China,Nigeria,9.4,Communications,New,POE,7,,2005,7.39857,9.07648
25333,2003,China,Uganda,9.9,"Paper, printing & packaging",New,PS,9,2003,U,32.60796,0.31774
26231,2005,China,Rwanda,7.5,Communications,New,POE,7,,U,29.87389,-1.94028
26520,2005,China,Angola,300,Communications,New,POE,6,,C-2005,17.87389,-11.20269
26706,2005,China,Angola,9.4,Communications,New,POE,7,,U,17.87389,-11.20269
26707,2005,China,Angola,7,Communications,New,POE,1,2005,U,13.18269,-8.90656
26708,2005,China,Angola,40.1,Communications,New,POE,7,,U,17.87389,-11.20269
26852,2005,China,Madagascar,159.8,Building materials,New,USOE,1,2005,2008,47.60344,-18.95094
26948,2005,Hong Kong,Egypt,197.1,Warehousing,New,POE,1,2005,2007,29.78769,31.14256
26949,2005,Hong Kong,Egypt,197.1,Warehousing,New,POE,1,2005,2007,29.79081,31.14294
28894,2005,China,Algeria,88.8,Automotive OEM,New,LS,7,,U,1.65963,28.03389
28977,2005,China,Zambia,9.4,Communications,New,POE,7,,U,27.84933,-13.1339
30051,2005,Hong Kong,Egypt,51.7,Automotive OEM,New,PS,1,2005,2006,30.88931,29.95131
30227,2005,China,Egypt,12.5,Industrial equipment,New,CS,9,2005,2008,32.56794,29.94631
30543,2005,China,Kenya,1.5,Consumer electronics,New,LS,1,U,2005,36.95956,-1.47544
32378,2005,China,Egypt,373.7,"Coal, oil & gas",New,CS,1,U,2005,31.28756,29.97694
32551,2005,Hong Kong,Kenya,12.3,Business machines & equipment,New,POE,1,2005,U,36.78194,-1.26019
32552,2005,Hong Kong,Kenya,1.3,Business machines & equipment,New,POE,1,2005,2005,36.78194,-1.26019
33643,2003,China,Zambia,150,Metals,New,CS,1,1998,2003,28.21757,-12.82319
33644,2005,China,Zambia,19.6,Metals,Expansion,CS,1,1998,2005,28.21757,-12.82319
33654,2005,China,Kenya,9.4,Communications,New,POE,1,2005,U,36.81356,-1.29806
34935,2005,China,Egypt,9.7,Communications,New,POE,3,,2005,31.23571,30.04442
39156,2006,China,Zambia,96.2,Metals,New,CS,1,2006,2008,28.04844,-12.65156
39490,2006,Hong Kong,Morocco,1.3,Business machines & equipment,New,POE,1,2006,2006,-7.62619,33.57006
41074,2006,Hong Kong,Egypt,373.7,"Coal, oil & gas",New,POE,3,,2006,33.81161,27.2579
42206,2006,China,Senegal,558,"Coal, oil & gas",New,CS,3,,U,-17.46769,14.71668
44618,2006,China,Ethiopia,5.21,Communications,New,POE,3,,2011,37.36135,11.57421
45585,2006,China,Ethiopia,1500,Communications,Expansion,POE,6,,U,38.75776,8.9806
47441,2006,China,Zambia,200,Metals,New,CS,1,1998,2008,28.04844,-12.65156
49726,2007,China,Egypt,395.1,Chemicals,New,CS,3,,U,30.84285,29.3084
49922,2007,China,Gabon,55.6,Minerals,New,POE,3,,U,10.76052,-0.18828
50230,2007,China,South Africa,19,Consumer electronics,New,LS,1,2007,2013,28.04731,-26.2041
53514,2007,China,Uganda,5.2,Non-automotive transport OEM,New,CS,1,2005,2007,32.62375,0.32648
54962,2007,China,South Africa,10.1,Automotive OEM,New,POE,1,2007,2007,28.01031,-26.21494
55521,2007,China,Nigeria,49.8,Real estate,New,POE,9,2007,2008,8.32801,5.01966
55902,2007,Hong Kong,Egypt,45.7,Transportation,New,POE,1,2007,2007,31.3656,30.05109
57023,2007,China,Rwanda,20,Communications,New,POE,7,,2007,29.87389,-1.94028
60464,2007,China,Democratic Republic of Congo,350,Metals,New,POE,7,,U,21.75866,-4.03833
60962,2007,China,Mozambique,20,Building materials,New,POE,3,,C-2012,32.57317,-25.96925
61185,2007,China,Democratic Republic of Congo,183,Metals,New,U,1,2006,2006,27.48619,-11.64844
61874,2007,Hong Kong,Kenya,13.8,Business services,New,POE,1,2007,2010,36.82256,-1.28244
61907,2007,China,Zambia,100,Metals,New,CS,1,1998,2007,28.06119,-12.65981
61931,2007,China,Rwanda,0.5,Communications,New,POE,7,,2007,29.87389,-1.94028
62761,2007,China,Nigeria,644.35,Building materials,New,POE,3,,U,7.6941,6.45785
65118,2008,China,Madagascar,270,Metals,New,CS,3,,U,45.8865,-21.66296
65912,2008,China,South Africa,440,Metals,New,CS,7,,U,22.93751,-30.55948
67783,2008,China,Ghana,143,"Coal, oil & gas",New,LS,1,2007,2008,0.04731,5.68031
68251,2008,China,Algeria,286.53,Automotive OEM,New,LS,3,,U,0.14014,36.01312
69830,2008,Hong Kong,Kenya,7.5,Communications,New,POE,7,,2008,37.90619,-0.02356
69903,2008,China,South Africa,33.7,Food & tobacco,New,LS,7,,U,25.28376,-26.66386
70078,2008,China,Botswana,200,Real estate,New,POE,9,2008,2011,25.91469,-24.59019
70678,2008,China,Niger,1641.2,"Coal, oil & gas",New,CS,3,,2011,13.28331,16.83331
70933,2008,China,Kenya,1,Communications,New,POE,1,2008,2008,36.84919,-1.32556
72643,2008,China,Egypt,4.6,Healthcare,New,PS,1,2008,2008,32.27956,30.62544
74200,2008,China,South Africa,7,Communications,New,POE,1,U,2008,28.09031,-26.06456
74202,2008,China,South Africa,7,Communications,New,POE,1,U,2008,28.08019,-26.06456
74525,2008,China,Ethiopia,15,Ceramics & glass,New,CS,1,2007,2009,38.70931,8.96031
74919,2003,China,Algeria,1641.2,"Coal, oil & gas",New,CS,3,,2003,-0.17291,28.21162
75036,2008,China,Nigeria,362.21,Building materials,New,POE,4,,U,5.22667,12.93743
75634,2008,China,Angola,3535,Real estate,New,CS,3,,2012,13.27212,-8.99706
76878,2008,China,Zambia,400,Renewable energy,Expansion,CS,1,2008,2018,28.76169,-16.52206
78263,2008,China,South Africa,33.8,Chemicals,New,POE,1,U,2008,28.04731,-26.2041
78740,2008,China,Egypt,2.9,Industrial equipment,New,POE,1,2008,2011,31.30631,30.07656
79053,2008,China,Chad,758,"Coal, oil & gas",New,CS,3,,2008,15.05574,12.13485
79123,2008,China,Egypt,15,Consumer electronics,New,LS,1,U,2008,31.19681,29.99934
79390,2008,China,Nigeria,58.6,Ceramics & glass,New,POE,3,,U,3.58127,6.90753
81134,2008,China,Cameroon,271.59,Chemicals,New,CS,7,,U,12.35472,7.36972
81143,2008,China,Cameroon,70.41,Building materials,New,CS,7,,U,12.35472,7.36972
81411,2008,China,Zimbabwe,400,Ceramics & glass,New,USOE,3,,U,29.91623,-18.32694
81910,2008,China,Algeria,100,Automotive OEM,New,PS,3,,2018,5.41509,36.1969
85286,2009,China,Kenya,36.11,Industrial equipment,New,CS,7,,U,37.90619,-0.02356
85659,2009,China,Ethiopia,10,Automotive OEM,New,POE,1,U,2009,38.77006,8.98681
86105,2009,China,South Africa,11,Financial services,New,CS,1,U,2009,28.05656,-26.09794
87142,2008,Hong Kong,Tanzania,15.3,Transportation,New,POE,3,,2008,39.20833,-6.79235
87960,2009,China,Angola,6.8,Business services,New,CS,1,2006,2007,28.13169,-25.97731
88142,2009,China,Algeria,88.8,Automotive OEM,New,POE,7,,U,1.65963,28.03389
90024,2009,China,Algeria,4,Business machines & equipment,New,CS,6,,2011,1.65963,28.03389
92027,2009,China,Chad,45.7,Transportation,New,CS,6,,2011,18.73221,15.45417
92169,2009,Hong Kong,Kenya,1.3,Business machines & equipment,New,POE,1,U,2009,36.82094,-1.28056
92263,2009,China,South Africa,80,Automotive OEM,New,CS,7,,U,22.93751,-30.55948
93206,2009,China,Zambia,328.8,Metals,New,CS,1,2009,2012,28.41631,-13.14356
93365,2009,China,Egypt,11,Financial services,New,CS,1,U,2009,31.2642,29.96483
94879,2009,China,Sudan,94.5,Automotive OEM,New,USOE,7,,2009,30.21764,12.86281
96193,2009,China,South Africa,76.8,Metals,New,CS,1,2006,2009,30.14394,-24.55019
96880,2009,Hong Kong,Tunisia,11,Financial services,New,POE,1,2009,2012,10.17898,36.81591
97907,2007,China,South Africa,1.5,Medical devices,New,POE,1,U,2007,27.92545,-26.07875
98472,2009,China,Zambia,96.2,Metals,Expansion,CS,1,2009,2010,28.04844,-12.65156
98816,2009,China,Egypt,7,Communications,Expansion,POE,1,U,2009,31.0034,30.0206
99338,2009,Hong Kong,Egypt,75,Automotive OEM,New,PS,9,2009,2012,32.33181,29.67406
99782,2009,China,Sudan,1641.2,"Coal, oil & gas",Expansion,CS,1,2009,U,32.68669,16.13119
100240,2009,China,South Africa,60.5,Communications,New,POE,1,U,2009,28.09031,-26.06456
101555,2009,China,Zambia,400,Metals,Expansion,CS,3,,2009,28.64981,-12.99064
101863,2010,China,Zimbabwe,55.4,Communications,New,POE,7,,2010,29.15486,-19.01544
101867,2010,China,Zimbabwe,9.4,Communications,New,POE,1,2010,2010,31.05456,-17.82756
102518,2009,China,Zimbabwe,7.5,Communications,New,POE,3,,2009,31.03351,-17.82517
103683,2010,China,Democratic Republic of Congo,162.2,Chemicals,New,CS,3,,C-2013,11.88917,-4.14284
107114,2010,China,Ethiopia,11,Financial services,New,CS,3,,2010,38.75776,8.9806
107611,2010,Hong Kong,Tunisia,11.9,Textiles,New,POE,1,U,2010,10.17641,36.79859
107612,2010,Hong Kong,Libya,11.9,Textiles,New,POE,7,,U,17.22833,26.3351
109822,2010,China,South Africa,10,Automotive OEM,New,LS,7,,U,22.93751,-30.55948
109824,2010,China,South Africa,116.3,Automotive OEM,New,LS,7,,U,22.93751,-30.55948
110170,2010,China,South Africa,119.08,Building materials,New,LS,1,2010,2015,27.54644,-24.98669
111418,2010,Hong Kong,Tanzania,12.5,Building materials,New,POE,2,2010,2015,39.50969,-8.93819
112620,2010,China,South Africa,7.5,Communications,New,CS,1,2010,2012,28.08744,-26.06169
114249,2010,China,Senegal,94.5,Automotive OEM,New,POE,7,,2010,-14.45236,14.4974
115825,2010,China,South Africa,116.3,Automotive OEM,New,POE,1,2010,U,28.11031,-26.06331
119177,2010,China,Ethiopia,67,Textiles,New,POE,3,,2010,38.76038,9.18528
122055,2011,China,Algeria,48.2,Industrial equipment,New,LS,1,2011,U,6.15219,35.56206
125098,2011,Hong Kong,Ghana,4000,Metals,New,POE,3,,U,-1.7831,4.90158
125171,2011,China,South Africa,5.8,Software & IT services,New,POE,1,U,2011,28.09031,-26.06456
126153,2011,China,Democratic Republic of Congo,11.8,Electronic components,New,POE,3,,U,15.27176,-4.33085
126296,2011,China,Tunisia,13.5,Industrial equipment,New,CS,7,,2011,9.5375,33.88692
127915,2011,China,Kenya,62.1,Automotive OEM,New,PS,1,2011,2014,36.82869,-1.30856
128638,2011,Hong Kong,South Africa,7.5,Communications,New,POE,3,,C-2011,18.86015,-33.9321
129371,2011,China,Ethiopia,94.5,Automotive OEM,New,POE,9,2011,2013,38.88294,8.81706
129375,2011,China,Ethiopia,12.7,Automotive OEM,New,POE,1,2011,2009,38.77406,9.01231
129577,2011,Hong Kong,Benin,46.2,Automotive OEM,New,PS,3,,U,2.39124,6.37029
133931,2011,China,Mozambique,96.4,Building materials,New,PS,3,,U,33.27845,-16.82642
134166,2011,China,South Africa,7.9,Engines & turbines,New,USOE,1,U,2011,28.0567,-26.10757
134529,2011,Hong Kong,South Africa,22.9,Food & tobacco,New,POE,1,2011,U,29.23569,-26.96206
135010,2011,China,Egypt,223,Ceramics & glass,New,CS,9,2011,2013,32.32144,29.66794
135597,2011,China,Zambia,700,Metals,Expansion,CS,1,2011,2011,28.06119,-12.65981
138437,2007,Hong Kong,Kenya,13.6,Chemicals,New,POE,1,U,2007,36.82069,-1.27306
139250,2011,China,South Africa,56.056,Automotive OEM,New,CS,1,2008,2011,25.64781,-33.81619
140036,2011,China,Tunisia,22.2,"Coal, oil & gas",New,CS,7,,U,9.5375,33.88692
141443,2010,China,South Africa,4.7,Industrial equipment,New,PS,1,2010,2011,28.04731,-26.2041
141752,2011,China,Mozambique,78,Building materials,New,POE,3,,2014,32.57317,-25.96925
142372,2011,China,Ghana,11,Financial services,New,CS,3,,2011,-0.18696,5.60372
142377,2011,China,Zambia,11,Financial services,New,CS,2,U,2011,28.29369,-15.41519
143309,2011,China,South Africa,11,Financial services,New,CS,1,U,2011,18.42694,-33.91969
143813,2011,Hong Kong,South Africa,15.3,Transportation,New,POE,1,U,2011,30.82369,-29.79431
144873,2011,China,Kenya,2.18,Automotive components,New,PS,1,2011,2012,36.82869,-1.30856
145090,2011,China,Ethiopia,60.6,Non-automotive transport OEM,New,CS,7,,U,40.48967,9.145
145577,2011,China,Ethiopia,94.5,Automotive OEM,New,CS,3,,2011,39.25833,8.52635
146063,2012,China,Ghana,62,Metals,New,POE,3,,U,-2.27781,6.2274
146265,2012,China,Zambia,3,Automotive OEM,New,LS,9,2012,U,28.39056,-15.52394
146272,2011,China,Zambia,94.5,Automotive OEM,New,PS,1,2011,2013,28.26456,-15.45281
146537,2011,China,South Africa,33.7,Food & tobacco,New,POE,1,2011,2016,28.07069,-26.41994
146542,2012,China,Egypt,45.7,Food & tobacco,New,POE,9,2007,2013,30.63231,30.44506
146641,2011,China,South Africa,7.5,Communications,New,POE,1,2011,2012,18.57644,-33.87119
146844,2012,China,Angola,7.5,Communications,New,CS,6,,U,17.87389,-11.20269
146845,2012,China,Kenya,60.5,Communications,New,CS,1,U,2012,36.78569,-1.29056
146850,2012,China,Algeria,7.5,Communications,New,CS,7,,U,1.65963,28.03389
146853,2012,China,Senegal,7.5,Communications,New,CS,7,,U,-14.45236,14.4974
146854,2012,China,Sudan,7.5,Communications,New,CS,6,,U,32.5599,15.50065
146855,2012,China,Zambia,7.5,Communications,New,CS,7,,U,27.84933,-13.1339
146857,2012,China,Democratic Republic of Congo,7.5,Communications,New,CS,6,,U,21.75866,-4.03833
146859,2012,China,Zimbabwe,7.5,Communications,New,CS,6,,U,29.15486,-19.01544
146863,2012,China,Ethiopia,7.5,Communications,New,CS,7,,U,40.48967,9.145
147058,2012,China,South Africa,0.02,Metals,New,POE,9,2012,2014,25.60224,-33.96084
147062,2012,China,South Africa,0.02,Metals,New,POE,3,,2012,24.01312,-30.67663
147065,2012,China,South Africa,0.02,Metals,New,POE,3,,U,21.23681,-28.39527
147070,2012,China,South Africa,7,Metals,New,POE,3,,U,24.74991,-28.72824
148432,2012,China,South Africa,6.2,Chemicals,New,POE,1,U,2012,28.05469,-26.11394
149519,2012,China,Zambia,96.2,Metals,New,POE,1,2012,2012,28.24119,-15.39356
150227,2010,China,South Africa,2.9,Industrial equipment,New,LS,1,U,2010,28.21944,-26.14756
150231,2012,China,South Africa,5,Industrial equipment,New,LS,1,2012,2012,28.21944,-26.14756
150234,2012,China,Ghana,5,Industrial equipment,New,LS,1,U,2012,-0.14419,5.63356
150235,2012,China,Kenya,2.9,Industrial equipment,New,LS,1,U,2011,36.88919,-1.33219
150245,2011,China,Egypt,2.9,Industrial equipment,New,LS,7,,2011,-77.40749,43.06423
150540,2012,China,Egypt,7.5,Communications,New,POE,1,U,2012,31.32606,30.06131
156172,2012,China,Nigeria,7,Communications,New,POE,1,2012,2012,3.41719,6.43019
157159,2012,China,Kenya,11,Financial services,New,CS,1,2012,2013,36.78355,-1.29917
158441,2012,Hong Kong,Ethiopia,23.1,Communications,New,POE,3,,2012,38.65823,8.92538
162092,2012,China,Zambia,328.8,Metals,New,POE,3,,U,28.35642,-12.85513
162624,2012,China,Uganda,100,Metals,New,CS,3,,U,30.6545,-0.60716
164808,2012,China,South Africa,2.8,Metals,New,CS,1,U,2012,28.05431,-26.10181
165398,2012,China,Nigeria,14.6,Business services,New,CS,3,,2012,8.0247,4.94876
165547,2012,China,Cote d'Ivoire,30,Communications,New,POE,3,,2012,-3.75367,5.22594
165604,2012,China,South Africa,22.24,Automotive OEM,New,PS,1,2012,2018,28.40619,-26.26094
166076,2012,China,Egypt,28.4,Communications,New,POE,1,U,2012,31.0034,30.0206
166739,2012,China,South Africa,15.3,Transportation,New,CS,1,2012,2013,31.03481,-29.86081
167299,2012,China,Angola,11,Financial services,New,CS,1,U,2012,13.19056,-8.92306
167602,2012,China,Namibia,270,Metals,New,CS,1,2012,2016,15.01881,-22.58806
169233,2012,Hong Kong,Mozambique,500,Real estate,New,POE,3,,2015,34.83702,-19.83159
169934,2012,China,South Africa,3.9,Consumer electronics,New,LS,1,U,2012,22.08341,-34.17474
170927,2013,China,Ghana,15.3,Transportation,New,PS,1,2012,2013,-0.85181,9.39894
172248,2013,Hong Kong,Rwanda,6.4,Communications,New,POE,3,,2013,30.11357,-1.9595
172743,2013,China,South Africa,10.5,Communications,New,POE,1,U,2013,28.09031,-26.06456
174835,2012,China,Morocco,6.5,Communications,New,POE,1,U,2012,-6.83269,34.01506
175886,2013,Hong Kong,South Africa,6.8,Business services,New,POE,1,U,2013,31.00106,-29.84556
175887,2013,Hong Kong,South Africa,6.8,Business services,New,POE,1,U,2013,18.42356,-33.91994
177644,2013,China,South Africa,35.1159,Consumer electronics,New,LS,1,2013,2017,18.48844,-33.58094
179146,2013,China,Uganda,94.5,Automotive OEM,New,PS,7,,U,32.29028,1.37333
